stop_date,stop_time,driver_gender,driver_age,driver_race,violation,search_conducted,stop_outcome,is_arrested,stop_duration,drugs_related_stop
122005,0.079861111,1,20,5,6,0,3,0,15,0
1182005,0.34375,1,40,5,6,0,3,0,15,0
1232005,0.96875,1,33,5,6,0,3,0,15,0
2202005,0.71875,1,19,5,3,0,1,1,30,0
3142005,0.416666667,0,21,5,6,0,3,0,15,0
3232005,0.40625,1,23,2,1,0,3,0,15,0
412005,0.729166667,1,36,5,6,0,3,0,15,0
662005,0.555555556,0,19,5,6,0,3,0,15,0
7132005,0.427083333,1,35,2,6,0,3,0,15,0
7132005,0.65625,1,35,5,6,0,3,0,15,0
7132005,0.680555556,1,26,1,6,0,3,0,15,0
7132005,0.791666667,0,39,5,6,0,3,0,15,0
7142005,0.829861111,1,26,5,6,0,3,0,15,0
7182005,0.8125,0,21,5,6,0,3,0,15,0
7182005,0.822916667,1,36,5,6,0,3,0,15,0
7192005,0.020833333,1,23,5,6,0,3,0,15,0
7192005,0.020833333,1,23,5,6,0,3,0,15,0
7192005,0.979166667,1,26,5,1,0,3,0,15,0
7202005,0.003472222,1,50,5,6,0,3,0,15,0
7242005,0.840277778,0,47,5,6,0,3,0,15,0
7282005,0.525694444,0,26,1,6,0,3,0,15,0
872005,0.701388889,1,52,5,2,0,3,0,15,0
882005,0.089583333,1,50,2,2,0,1,1,45,0
8182005,0.45625,0,38,5,6,0,3,0,15,0
8282005,0.041666667,1,26,5,2,1,1,1,30,0
932005,0.668055556,0,0,0,0,0,0,0,0,0
9172005,0.454166667,1,41,5,6,0,3,0,15,0
9212005,0.5625,0,28,5,6,0,3,0,15,0
9222005,0.940277778,1,21,5,6,0,3,0,15,0
9262005,0.045138889,0,0,0,0,0,0,0,0,0
9262005,0.50625,1,46,2,2,0,3,0,45,0
9282005,0.263888889,1,23,5,6,0,1,1,30,0
9282005,0.302083333,1,32,5,6,0,3,0,15,0
9282005,0.322916667,1,52,5,2,0,3,0,15,0
9292005,0.989583333,1,58,5,6,0,3,0,15,0
9302005,0.010416667,1,27,5,1,0,4,0,15,0
9302005,0.395833333,0,19,5,6,0,3,0,15,0
9302005,0.583333333,1,43,1,6,0,3,0,15,0
9302005,0.809027778,1,24,5,6,0,3,0,15,0
9302005,0.845138889,1,17,5,6,0,3,0,15,0
1012005,0,1,17,5,1,1,1,1,30,1
1012005,0,1,17,5,1,1,3,0,45,1
1012005,0.034722222,1,28,3,2,0,1,1,45,0
1012005,0.041666667,1,20,5,6,0,3,0,15,0
1012005,0.072916667,1,22,5,6,0,3,0,15,0
1012005,0.114583333,1,44,5,2,0,3,0,15,0
1012005,0.361111111,1,46,5,1,0,3,0,15,0
1012005,0.381944444,1,33,5,6,0,3,0,15,0
1012005,0.388888889,1,48,5,6,0,3,0,15,0
1012005,0.447916667,1,34,5,1,0,3,0,15,0
